,hps,fit,pred
decision_tree-digit_col_grad_0,2.9660004656761885e-06,0.006112442002631724,0.0001577909970364999
decision_tree-digit_col_grad_1,1.3919998309575021e-06,0.006158801999845309,0.00012598500325111672
decision_tree-digit_col_grad_2,1.272001100005582e-06,0.006489309002063237,0.00012451600196072832
early_fusion,3.2000025385059416e-07,0.03787718099920312,0.0016541190016141627
weighted_linear_late_fusion,3.3700052881613374e-07,0.6987573650003469,0.0862340480016428
