,decision_tree-digit_col_grad_0,decision_tree-digit_col_grad_2,decision_tree-digit_col_grad_1,early_fusion,weighted_linear_late_fusion
Train,0.4929472902746845,0.5011135857461024,0.5382331106161841,0.7980697847067557,0.9896065330363771
Test,0.47555555555555556,0.4822222222222222,0.5,0.76,0.9177777777777778
