,hps,fit,pred
decision_tree-digit_col_grad_0,1.8430000636726618e-06,0.004688474000431597,0.00011756500134652015
decision_tree-digit_col_grad_1,1.2900000001536682e-06,0.005696215001080418,0.00012342300033196807
decision_tree-digit_col_grad_2,1.2509990483522415e-06,0.006727948999468936,0.00012397000136843417
early_fusion,3.2000025385059416e-07,0.03440535599838768,0.0019902929998352192
weighted_linear_late_fusion,3.2800016924738884e-07,0.612359896000271,0.07339083400074742
