;Statistic;Values
0;Accuracy score on test;0.377802077638
1;Top 10 classes by F1-Score;['windsor_chair', 'Leopards', 'sunflower', 'dollar_bill', 'Motorbikes', 'airplanes', 'Faces_easy', 'grand_piano', 'trilobite', 'soccer_ball']
2;Worst 10 classes by F1-Score;['flamingo_head', 'nautilus', 'crayfish', 'crocodile', 'crocodile_head', 'cup', 'menorah', 'mayfly', 'dolphin', 'gramophone']
3;Ratio of classes with F1-Score==0 of all classes;0.4215686274509804
4;Mean of F1-Score of top 10 classes by F1-Score;0.6211088668876736
5;Mean of F1-Score of top 20 classes by F1-Score;0.5225085099366182
6;Mean of F1-Score of top 30 classes by F1-Score;0.4471991627772407
