,decision_tree-NIMST_data_hog0,decision_tree-NIMST_data_hog3,decision_tree-NIMST_data_hog1,decision_tree-NIMST_data_hog2,early_fusion,weighted_linear_late_fusion
Train,0.3504,0.3354666666666667,0.38693333333333335,0.5138666666666667,0.7474666666666666,0.9392
Test,0.324,0.324,0.3816,0.5008,0.6824,0.8688
