,hps,fit,pred
decision_tree-NIMST_data_hog0,2.9669972718693316e-06,0.15912195599958068,0.0008408920002693776
decision_tree-NIMST_data_hog1,2.745000529102981e-06,0.12030322400096338,0.000864402001752751
decision_tree-NIMST_data_hog2,2.7319983928464353e-06,0.11213398499967298,0.0008085759982350282
decision_tree-NIMST_data_hog3,2.691998815862462e-06,0.0835783110014745,0.0008186939994629938
early_fusion,9.71998815657571e-07,1.0557703739978024,0.014685859001474455
weighted_linear_late_fusion,7.369999366346747e-07,4.797297590997914,0.6450953540006594
