,hps,fit,pred
decision_tree-digit_col_grad_0,1.7170004866784438e-06,0.0050774689989339095,0.00021689599998353515
decision_tree-digit_col_grad_1,1.6160011000465602e-06,0.007427421000102186,0.00014132999967841897
decision_tree-digit_col_grad_2,1.4770012057852e-06,0.006655165001575369,0.00018148100025427993
early_fusion,3.710010787472129e-07,0.03883874200073478,0.0017773130002751714
weighted_linear_late_fusion,5.519996193470433e-07,0.7240192080007546,0.09078925199901278
