;Statistic;Values
0;Accuracy score on test;0.356478950246
1;Top 10 classes by F1-Score;['Leopards', 'Motorbikes', 'airplanes', 'minaret', 'Faces_easy', 'garfield', 'euphonium', 'soccer_ball', 'trilobite', 'inline_skate']
2;Worst 10 classes by F1-Score;['flamingo_head', 'electric_guitar', 'elephant', 'emu', 'strawberry', 'scissors', 'gramophone', 'helicopter', 'starfish', 'lamp']
3;Ratio of classes with F1-Score==0 of all classes;0.43137254901960786
4;Mean of F1-Score of top 10 classes by F1-Score;0.5413680240232852
5;Mean of F1-Score of top 20 classes by F1-Score;0.4673766520829637
6;Mean of F1-Score of top 30 classes by F1-Score;0.41467117369106793
