;Statistic;Values
0;Accuracy score on test;0.326954620011
1;Top 10 classes by F1-Score;['Leopards', 'garfield', 'yin_yang', 'octopus', 'Motorbikes', 'brain', 'stop_sign', 'trilobite', 'snoopy', 'windsor_chair']
2;Worst 10 classes by F1-Score;['ibis', 'sea_horse', 'panda', 'ferry', 'flamingo', 'flamingo_head', 'schooner', 'gerenuk', 'gramophone', 'saxophone']
3;Ratio of classes with F1-Score==0 of all classes;0.5588235294117647
4;Mean of F1-Score of top 10 classes by F1-Score;0.571671096345515
5;Mean of F1-Score of top 20 classes by F1-Score;0.4779748658945552
6;Mean of F1-Score of top 30 classes by F1-Score;0.4071326997174364
