,hps,fit,pred
decision_tree-digit_col_grad_0,2.4820001272019e-06,0.0060898680003447225,0.00015582200103381183
decision_tree-digit_col_grad_1,1.3259996194392443e-06,0.007037519000732573,0.0002216869997937465
decision_tree-digit_col_grad_2,2.10799953492824e-06,0.00858007800161431,0.00015546599934168626
early_fusion,6.430000212276354e-07,0.040050617999440874,0.00249865099976887
weighted_linear_late_fusion,3.66999302059412e-07,0.7954356459995324,0.09061585100062075
