,double_fault_fusion,difficulty_fusion,lasso-ViewNumber1,sgd-ViewNumber0,svm_poly-ViewNumber1,svm_poly-ViewNumber2,svm_poly-ViewNumber0,
0,0.5,0.5,0.5,0.5,0.7,0.7,0.65,
1,0.5,0.5,0.5,0.5,0.7125,0.7125,0.8,
