;a_feat_desc;b_feat_extr_time;c_cl_desc;d_cl_res;e_cl_time;f_cl_score
0;Caltech-HOG-CellDimension_5-nbOrientaions_8-nbClusters_2-Maxiter_100;928.4018321037292;Classif_RF-CV_10-Trees_25;"GridSearchCV(cv=10,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";83.214035987854;0.08516746411483253
1;Caltech-HOG-CellDimension_5-nbOrientaions_8-nbClusters_8-Maxiter_100;897.2865669727325;Classif_RF-CV_10-Trees_125;"GridSearchCV(cv=10,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";157.58279609680176;0.3397129186602871
2;Caltech-HOG-CellDimension_5-nbOrientaions_8-nbClusters_14-Maxiter_100;926.914687871933;Classif_RF-CV_10-Trees_175;"GridSearchCV(cv=10,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";180.0653371810913;0.3819548872180451
3;Caltech-HOG-CellDimension_5-nbOrientaions_8-nbClusters_19-Maxiter_100;1027.0131568908691;Classif_RF-CV_10-Trees_125;"GridSearchCV(cv=10,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";229.46753215789795;0.3964456596035543
4;Caltech-HOG-CellDimension_5-nbOrientaions_8-nbClusters_25-Maxiter_100;908.715017080307;Classif_RF-CV_10-Trees_175;"GridSearchCV(cv=10,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";280.4962558746338;0.39876965140123033
